Image Taken,Image Number,Latitude,Longitude,Time
False,69,30.244751789867767,-132.63512222978432,21:17:23
True,70,30.19560724458,-132.58143842390783,21:17:24
False,70,30.195539389795684,-132.58136436136382,21:17:24
False,70,30.14636504165569,-132.5277344079804,21:17:26
False,70,30.09698091435633,-132.47396217203502,21:17:27
False,70,30.047724207971438,-132.42041467108794,21:17:28
True,71,29.998393872106504,-132.3668728400714,21:17:29
False,71,29.998325737936035,-132.3667989482133,21:17:29
False,71,29.949082763471722,-132.3134372469274,21:17:30
False,71,29.89975373079377,-132.2600672731522,21:17:31
False,71,29.850365463802753,-132.2067180686787,21:17:32
True,72,29.801052451030777,-132.153534513872,21:17:33
False,72,29.800984220250296,-132.15346098594296,21:17:33
False,72,29.751601728810105,-132.1002867376066,21:17:34
False,72,29.70215706675844,-132.04712953440998,21:17:35
False,72,29.652708319702057,-131.99405164270377,21:17:36
True,73,29.603120398341535,-131.94090807324181,21:17:38
False,73,29.60307498427534,-131.94085944112584,21:17:38
False,73,29.553693479387338,-131.88802012487722,21:17:39
False,73,29.50415324859546,-131.83509380928945,21:17:40
False,73,29.45454995497645,-131.78218290825743,21:17:41
True,74,29.404864802057627,-131.7292673904573,21:17:42
False,74,29.404796292268756,-131.7291944833723,21:17:42
False,74,29.35524548524922,-131.67650425143506,21:17:43
False,74,29.30572554653223,-131.62392840857012,21:17:44
False,74,29.25603804820993,-131.57125628109966,21:17:45
True,75,29.206185177538927,-131.518490669429,21:17:46
False,75,29.20613953470228,-131.51844239727797,21:17:46
False,75,29.156430653259328,-131.46591052730142,21:17:47
False,75,29.106643149987338,-131.4133765741785,21:17:48
False,75,29.056847137561746,-131.36091439607023,21:17:50
True,76,29.006958106322905,-131.3084348711412,21:17:51
False,76,29.006935285581314,-131.3084108838513,21:17:51
False,76,28.957144178817913,-131.25611456277065,21:17:52
False,76,28.90730989792916,-131.20385274799582,21:17:53
False,76,28.857431662835392,-131.15162450154136,21:17:54
True,77,28.807601206267865,-131.0995255414831,21:17:55
False,77,28.807555384374783,-131.0994776699311,21:17:55
False,77,28.75763367758568,-131.04736248788785,21:17:56
False,77,28.70767887515627,-130.99529169085702,21:17:57
False,77,28.657714529976133,-130.9432896058232,21:17:58
True,78,28.607768004257476,-130.89138436850033,21:17:59
False,78,28.60769849677783,-130.89131218960455,21:17:59
False,78,28.50770922899819,-130.78763589582843,21:18:02
False,78,28.457673165982158,-130.7358712955205,21:18:03
True,79,28.40748847590918,-130.68403056561561,21:18:04
False,79,28.407395930450406,-130.6839350378811,21:18:04
False,79,28.357452791284317,-130.63242084218425,21:18:05
False,79,28.30732683358372,-130.58079486758453,21:18:06
False,79,28.257123660434946,-130.52916616021577,21:18:07
True,80,28.20694962520584,-130.4776438895133,21:18:08
False,80,28.20690354263246,-130.47759660369246,21:18:08
False,80,28.15671985498734,-130.42614064950916,21:18:09
False,80,28.106439494168182,-130.37466164481035,21:18:10
False,80,28.056207512116043,-130.32330789842223,21:18:11
True,81,28.005986957751933,-130.2720411899751,21:18:12
False,81,28.00591779896778,-130.2719706423414,21:18:12
False,81,27.9557861223912,-130.2208696064307,21:18:13
False,81,27.905510495878623,-130.16969662736327,21:18:15
False,81,27.855172465652135,-130.1185348621899,21:18:16
True,82,27.804723436413457,-130.06733500106216,21:18:17
False,82,27.804677231461934,-130.06728814263752,21:18:17
False,82,27.754430624357784,-130.0163678334727,21:18:18
False,82,27.70396214216253,-129.9652967618505,21:18:19
False,82,27.653589989701608,-129.91439690733927,21:18:20
True,83,27.603036343613127,-129.86338742171858,21:18:21
False,83,27.602966888908686,-129.86331739143827,21:18:21
False,83,27.552590775603047,-129.81256034883558,21:18:22
False,83,27.502048780975702,-129.76170931299404,21:18:23
False,83,27.45153828777771,-129.71096286808637,21:18:24
True,84,27.401090115106463,-129.66035147884645,21:18:25
False,84,27.401066953622408,-129.66032825900982,21:18:25
False,84,27.350468963373956,-129.609639027626,21:18:27
False,84,27.29989044508243,-129.55904150162368,21:18:28
False,84,27.249242610206732,-129.50844667228452,21:18:29
True,85,27.198561591769018,-129.45789056080503,21:18:30
False,85,27.19851509507275,-129.45784421162068,21:18:30
False,85,27.147881910782104,-129.4074073792117,21:18:31
False,85,27.097219905078955,-129.3570130715951,21:18:32
False,85,27.046539517145753,-129.30667148364964,21:18:33
True,86,26.995745568156234,-129.25628806168518,21:18:34
False,86,26.995699084722943,-129.25624198639022,21:18:34
False,86,26.94509405369368,-129.20611638544133,21:18:35
False,86,26.894288443580635,-129.15586247210047,21:18:36
False,86,26.843486916891774,-129.10568280987383,21:18:37
True,87,26.79267375533393,-129.05556160436223,21:18:39
False,87,26.79260386542564,-129.0554927142352,21:18:39
False,87,26.741872934171464,-129.0055222201496,21:18:40
False,87,26.691103285276704,-128.9555828363569,21:18:41
False,87,26.64020106639798,-128.90558231538935,21:18:42
True,88,26.58928434522739,-128.85563665357193,21:18:43
False,88,26.589214104925272,-128.85556780046946,21:18:43
False,88,26.53828694620022,-128.80568085127592,21:18:44
False,88,26.48734894244212,-128.75585188539952,21:18:45
False,88,26.43641982295655,-128.70609992972265,21:18:46
True,89,26.38542989431917,-128.65635673011283,21:18:47
False,89,26.38538327114152,-128.65631127801947,21:18:47
False,89,26.334457283237185,-128.60669831536154,21:18:48
False,89,26.283465839457165,-128.5570891964665,21:18:49
False,89,26.232384062287693,-128.5074597549364,21:18:51
True,90,26.1813968041613,-128.45798930755828,21:18:52
False,90,26.18134977705891,-128.45794371034705,21:18:52
False,90,26.130321383965292,-128.40850032417126,21:18:53
False,90,26.079243701466268,-128.35907594441676,21:18:54
False,90,26.02820806186228,-128.30975869287977,21:18:55
True,91,25.976947720375932,-128.26029089412745,21:18:56
False,91,25.976876761439197,-128.2602224627117,21:18:56
False,91,25.925815411354698,-128.21101286827417,21:18:57
False,91,25.874602464640798,-128.16172315334904,21:18:58
False,91,25.823445127459042,-128.11255266299017,21:18:59
True,92,25.77219919902848,-128.06336259553538,21:19:00
False,92,25.77215230437526,-128.06331761215645,21:19:00
False,92,25.720963757182506,-128.01424794012016,21:19:01
False,92,25.669767802493066,-127.9652361389119,21:19:03
False,92,25.618428047749877,-127.91615166067392,21:19:04
True,93,25.566983369752315,-127.86703188454311,21:19:05
False,93,25.566936307770955,-127.8669869791175,21:19:05
False,93,25.515709002351773,-127.81813922147283,21:19:06
False,93,25.46448920239199,-127.76936262231732,21:19:07
False,93,25.41314428255374,-127.7205308454691,21:19:08
True,94,25.361766800049317,-127.67173195531834,21:19:09
False,94,25.36171942992166,-127.6716869920518,21:19:09
False,94,25.310338110345633,-127.6229481423067,21:19:10
False,94,25.25891943210347,-127.57423729727397,21:19:11
False,94,25.207467356363043,-127.5255580853643,21:19:12
